yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
81,409.25,276.35,65.506,6371.3,91.676,45.328,38.273,10.404,0,49.189,14.073,918.42,14.073,14.073,22.977,118.51,9.9227
82,451.75,321.66,108.22,6482.2,104.84,48.608,45.113,10.17,0,53.87,15.791,936.25,15.791,15.791,23.548,132.52,12.214
83,523.39,375.34,90.449,6439.7,126.53,60.242,57.658,11.192,0,48.077,13.762,956.5,13.762,13.762,26.778,153.85,12.896
84,483.6,339.75,70.037,6755.9,111.14,57.84,51.792,9.9793,0,43.804,12.674,955.42,12.674,12.674,27.364,129.53,10.98
85,449.22,316.51,65.058,7117,110.25,53.953,49.009,12.594,0,43.719,11.327,972.17,11.327,11.327,27.765,116.38,10.333
86,420.95,299.29,63.288,7482.7,101.63,49.967,43.275,10.883,0,38.324,9.8425,992.42,9.8425,9.8425,26.894,106.94,11.702
87,392.99,282.32,57.979,7456.8,94.201,47.006,41.923,10.204,0,35.54,8.8962,989.75,8.8962,8.8962,25.716,102.88,11.053
88,367.93,262.69,56.185,7310.5,87.688,44.646,39.384,9.6159,0,32.97,8.429,1018.3,8.429,8.429,25.287,96.796,10.404
89,380.27,272.55,63.123,7286.9,87.051,43.514,37.756,8.3063,0,31.354,8.6909,1068.2,8.6909,8.6909,25.131,108.97,11.162
90,408.66,290.18,66.781,7190.1,88.655,44.481,37.786,7.8037,0,33.251,8.9812,1075.9,8.9812,8.9812,24.374,113.46,10.867
91,393.84,275.97,58.592,7098.1,88.325,44.292,37.565,7.8933,0,31.465,8.2567,1079.6,8.2567,8.2567,23.8,104.35,10.543
92,369.51,259.31,51.584,6897.5,83.44,42.688,36.718,7.4945,0,31.219,8.4007,1079.1,8.4007,8.4007,24.501,93.823,9.2738
93,356.2,240.65,49.72,6673.3,80.066,42.242,35.377,7.0179,0,29.475,8.3134,1100.7,8.3134,8.3134,24.161,89.387,9.0826
94,352.76,233.26,48.493,6534.1,80.231,42.64,34.584,6.4539,0,27.725,8.3818,1136.7,8.3818,8.3818,22.635,87.357,8.3299
95,356.11,235.36,50.451,6453.9,78.626,44.505,33.442,6.2203,0,27.564,8.5871,1153.5,8.5871,8.5871,21.969,88.585,8.6343
96,358.54,242.42,55.666,6659.2,79.688,44.292,30.858,6.1707,0,27.812,8.6154,1171,8.6154,8.6154,20.966,92.502,9.2101
97,369.37,254.4,57.743,6755.9,84.313,45.047,31.035,6.4728,0,31.3,9.3375,1210.8,9.3375,9.3375,20.466,98.849,8.9387
98,368.66,259.57,61.832,6739.4,83.134,45.264,31.118,6.6545,0,30.36,9.6867,1266.5,9.6867,9.6867,19.779,102.96,9.0991
99,377.42,260.26,58.868,6954.1,81.175,45.585,31.099,6.704,0,29.421,9.0354,1323.4,9.0354,9.0354,19.255,103.47,8.9151
100,367.79,257.4,55.855,7010.8,84.431,46.315,32.425,7.3624,0,29.072,8.9646,1421.6,8.9646,8.9646,19.326,97.811,8.4762
101,373.03,268.61,67.724,7190.1,85.824,46.586,31.689,7.5535,0,33.659,9.4083,1539.1,9.4083,9.4083,19.357,101.54,8.9127
102,414.79,312.45,78.697,7173.6,92.903,51.164,31.326,8.1269,0,39.469,10.666,1684.1,10.666,10.666,21.198,117.99,9.1581
103,460.24,361.63,90.661,7421.4,113.69,59.798,36.446,10.77,0,45.564,12.332,1795.3,12.332,12.332,24.253,130.82,9.8307
104,471.78,363,78.367,7511,109.59,63.135,38.947,9.4979,0,35.455,10.447,1815.8,10.447,10.447,23.234,132.15,11.99
105,453.87,344.64,80.727,7770.6,105.81,58.12,38.015,9.8543,0,38.992,11.126,1906.8,11.126,11.126,23.175,136.16,12.117
106,423.69,320.41,70.792,8004.2,100.95,53.318,36.151,9.2596,0,34.523,10.607,1992.2,10.607,10.607,22.285,128.61,10.52
107,402.34,301.27,63.63,8042,92.785,50.876,32.529,7.6919,0,30.969,10.182,2069.7,10.182,10.182,20.829,115.16,8.7499
108,389.9,281.8,55.761,7987.7,88.632,49.012,28.14,6.6442,0,28.359,9.3847,2093.3,9.3847,9.3847,19.942,103.36,7.5771
109,389.78,272.15,53.731,7737.6,88.868,47.315,25.7,5.998,0,26.455,9.2407,2145.8,9.2407,9.2407,19.109,98.802,6.9046
110,401.18,273.14,54.321,7798.9,85.706,47.872,25.285,5.7972,0,26.023,9.8637,2212.5,9.8637,9.8637,18.843,98.92,6.4515
111,409.84,278.07,53.188,7874.4,85.446,48.519,24.848,5.7097,0,25.754,10.119,2300,10.119,10.119,18.418,100.22,5.9867
112,422.2,282.41,55.808,7921.6,84.054,46.09,24.57,5.3905,0,25.353,10.135,2460,10.135,10.135,17.328,102.27,5.8262
113,431.19,289.92,53.849,8244.9,85.045,42.971,25.631,5.3004,0,25.464,10.619,2654.2,10.619,10.619,16.707,105.74,5.7176
114,436.06,290.93,53.448,8346.4,83.488,41.17,25.643,5.0713,0,25.098,11.067,2815.8,11.067,11.067,15.947,105.13,5.5407
115,433.84,285.62,51.018,8261.4,85.54,41.154,25.433,4.8319,0,24.284,10.956,2985,10.956,10.956,15.872,103.03,5.1088
116,427.58,276.02,48.186,8167.1,86.343,41.057,25.563,4.5976,0,23.89,10.626,3184.2,10.626,10.626,16.405,100.6,4.7973
